;Date;Open;High;Low;Close;Adj Close;Volume;Action
0;2020-01-13;1.1117;1.1145;1.1114;1.1117;1.1117;0.0;hold
1;2020-01-14;1.1134;1.1146;1.1106;1.1136;1.1136;0.0;hold
2;2020-01-15;1.113;1.1163;1.112;1.1131;1.1131;0.0;hold
3;2020-01-16;1.1153;1.1172;1.113;1.1154;1.1154;0.0;buy
4;2020-01-17;1.1138;1.1145;1.1088;1.114;1.114;0.0;hold
5;2020-01-20;1.1095;1.1105;1.1078;1.1095;1.1095;0.0;sell
6;2020-01-21;1.1096;1.112;1.1086;1.1097;1.1097;0.0;hold
7;2020-01-22;1.1086;1.1098;1.1072;1.1086;1.1086;0.0;hold
8;2020-01-23;1.1098;1.1103;1.1037;1.1096;1.1096;0.0;hold
9;2020-01-24;1.1055;1.1061;1.1021;1.1055;1.1055;0.0;hold
10;2020-01-27;1.1026;1.104;1.101;1.1025;1.1025;0.0;hold
11;2020-01-28;1.102;1.1027;1.0999;1.102;1.102;0.0;hold
12;2020-01-29;1.1023;1.103;1.0993;1.1023;1.1023;0.0;hold
13;2020-01-30;1.1014;1.1037;1.1008;1.1017;1.1017;0.0;hold
14;2020-01-31;1.1029;1.109;1.1018;1.1029;1.1029;0.0;hold
15;2020-03-02;1.1089;1.1089;1.1044;1.109;1.109;0.0;hold
16;2020-04-02;1.1063;1.1066;1.1034;1.1063;1.1063;0.0;hold
17;2020-05-02;1.1045;1.1049;1.0998;1.1047;1.1047;0.0;hold
18;2020-06-02;1.1;1.1013;1.0966;1.1002;1.1002;0.0;hold
19;2020-07-02;1.0981;1.0987;1.0947;1.0983;1.0983;0.0;hold
20;2020-10-02;1.0949;1.0961;1.091;1.0949;1.0949;0.0;hold
21;2020-11-02;1.0912;1.0927;1.0893;1.0913;1.0913;0.0;hold
22;2020-12-02;1.0922;1.0925;1.0887;1.0919;1.0919;0.0;hold
23;2020-02-13;1.0876;1.0891;1.0836;1.0876;1.0876;0.0;hold
24;2020-02-14;1.0846;1.0862;1.0831;1.0846;1.0846;0.0;hold
25;2020-02-17;1.0841;1.0854;1.083;1.0842;1.0842;0.0;hold
26;2020-02-18;1.0837;1.0839;1.0787;1.084;1.084;0.0;hold
