Date;Open;High;Low;Close;Adj Close;Volume
13.01.20;1.1117;1.1145;1.1114;1.1117;1.1117;0.0000
14.01.20;1.1134;1.1146;1.1106;1.1136;1.1136;0.0000
15.01.20;1.1130;1.1163;1.1120;1.1131;1.1131;0.0000
16.01.20;1.1153;1.1172;1.1130;1.1154;1.1154;0.0000
17.01.20;1.1138;1.1145;1.1088;1.1140;1.1140;0.0000
20.01.20;1.1095;1.1105;1.1078;1.1095;1.1095;0.0000
21.01.20;1.1096;1.1120;1.1086;1.1097;1.1097;0.0000
22.01.20;1.1086;1.1098;1.1072;1.1086;1.1086;0.0000
23.01.20;1.1098;1.1103;1.1037;1.1096;1.1096;0.0000
24.01.20;1.1055;1.1061;1.1021;1.1055;1.1055;0.0000
27.01.20;1.1026;1.1040;1.1010;1.1025;1.1025;0.0000
28.01.20;1.1020;1.1027;1.0999;1.1020;1.1020;0.0000
29.01.20;1.1023;1.1030;1.0993;1.1023;1.1023;0.0000
30.01.20;1.1014;1.1037;1.1008;1.1017;1.1017;0.0000
31.01.20;1.1029;1.1090;1.1018;1.1029;1.1029;0.0000
03.02.20;1.1089;1.1089;1.1044;1.1090;1.1090;0.0000
04.02.20;1.1063;1.1066;1.1034;1.1063;1.1063;0.0000
05.02.20;1.1045;1.1049;1.0998;1.1047;1.1047;0.0000
06.02.20;1.1000;1.1013;1.0966;1.1002;1.1002;0.0000
07.02.20;1.0981;1.0987;1.0947;1.0983;1.0983;0.0000
10.02.20;1.0949;1.0961;1.0910;1.0949;1.0949;0.0000
11.02.20;1.0912;1.0927;1.0893;1.0913;1.0913;0.0000
12.02.20;1.0922;1.0925;1.0887;1.0919;1.0919;0.0000
13.02.20;1.0876;1.0891;1.0836;1.0876;1.0876;0.0000
14.02.20;1.0846;1.0862;1.0831;1.0846;1.0846;0.0000
17.02.20;1.0841;1.0854;1.0830;1.0842;1.0842;0.0000
18.02.20;1.0837;1.0839;1.0787;1.0840;1.0840;0.0000
19.02.20;1.0795;1.0808;1.0784;1.0795;1.0795;0.0000
20.02.20;1.0810;1.0821;1.0780;1.0810;1.0810;0.0000
21.02.20;1.0788;1.0864;1.0788;1.0788;1.0788;0.0000
24.02.20;1.0839;1.0864;1.0808;1.0839;1.0839;0.0000
25.02.20;1.0849;1.0882;1.0832;1.0849;1.0849;0.0000
26.02.20;1.0881;1.0904;1.0856;1.0882;1.0882;0.0000
27.02.20;1.0886;1.1006;1.0886;1.0886;1.0886;0.0000
28.02.20;1.0996;1.1053;1.0952;1.0997;1.0997;0.0000
02.03.20;1.1053;1.1164;1.1037;1.1051;1.1051;0.0000
03.03.20;1.1144;1.1208;1.1097;1.1144;1.1144;0.0000
04.03.20;1.1177;1.1186;1.1097;1.1181;1.1181;0.0000
05.03.20;1.1139;1.1204;1.1122;1.1139;1.1139;0.0000
06.03.20;1.1224;1.1355;1.1214;1.1224;1.1224;0.0000
09.03.20;1.1386;1.1496;1.1357;1.1386;1.1386;0.0000
10.03.20;1.1397;1.1423;1.1334;1.1398;1.1398;0.0000
11.03.20;1.1316;1.1366;1.1259;1.1317;1.1317;0.0000
12.03.20;1.1261;1.1333;1.1081;1.1262;1.1262;0.0000
13.03.20;1.1184;1.1221;1.1065;1.1185;1.1185;0.0000
16.03.20;1.1160;1.1235;1.1089;1.1155;1.1155;0.0000
17.03.20;1.1163;1.1189;1.0958;1.1163;1.1163;0.0000
18.03.20;1.1017;1.1045;1.0832;1.1016;1.1016;0.0000
19.03.20;1.0943;1.0946;1.0698;1.0962;1.0962;0.0000
20.03.20;1.0658;1.0830;1.0655;1.0657;1.0657;0.0000
23.03.20;1.0688;1.0825;1.0660;1.0694;1.0694;0.0000
24.03.20;1.0765;1.0889;1.0753;1.0765;1.0765;0.0000
25.03.20;1.0801;1.0850;1.0770;1.0803;1.0803;0.0000
26.03.20;1.0888;1.1025;1.0877;1.0890;1.0890;0.0000
27.03.20;1.1046;1.1086;1.0955;1.1048;1.1048;0.0000
30.03.20;1.1135;1.1138;1.1012;1.1139;1.1139;0.0000
31.03.20;1.1028;1.1044;1.0930;1.1030;1.1030;0.0000
01.04.20;1.1028;1.1038;1.0919;1.1027;1.1027;0.0000
02.04.20;1.0951;1.0963;1.0844;1.0954;1.0954;0.0000
03.04.20;1.0844;1.0859;1.0776;1.0847;1.0847;0.0000
06.04.20;1.0808;1.0834;1.0769;1.0807;1.0807;0.0000
07.04.20;1.0802;1.0923;1.0791;1.0804;1.0804;0.0000
08.04.20;1.0894;1.0896;1.0832;1.0895;1.0895;0.0000
09.04.20;1.0861;1.0944;1.0842;1.0864;1.0864;0.0000
10.04.20;1.0926;1.0954;1.0921;1.0927;1.0927;0.0000
13.04.20;1.0931;1.0969;1.0894;1.0933;1.0933;0.0000
14.04.20;1.0920;1.0984;1.0916;1.0923;1.0923;0.0000
15.04.20;1.0982;1.0989;1.0858;1.0985;1.0985;0.0000
16.04.20;1.0904;1.0908;1.0830;1.0905;1.0905;0.0000
17.04.20;1.0860;1.0893;1.0813;1.0858;1.0858;0.0000
20.04.20;1.0866;1.0897;1.0843;1.0867;1.0867;0.0000
21.04.20;1.0864;1.0880;1.0818;1.0865;1.0865;0.0000
22.04.20;1.0857;1.0883;1.0824;1.0856;1.0856;0.0000
23.04.20;1.0807;1.0844;1.0758;1.0810;1.0810;0.0000
24.04.20;1.0776;1.0818;1.0728;1.0777;1.0777;0.0000
